Year,Training_Location,Region,Students,Student_FTE
2021,Abbotsford,Lower Mainland/Southwest,12,2.1
2023,Abbotsford,Lower Mainland/Southwest,7,1.225
2020,Abbotsford,Lower Mainland/Southwest,5,0.875
2023,Abbotsford,Thompson-Okanagan,1,0.175
2020,Abbotsford,Thompson-Okanagan,1,0.175
2021,Abbotsford,Vancouver Island/Coast,2,0.35
2020,Abbotsford,Vancouver Island/Coast,1,0.175
2022,Abbotsford,,14,2.45
2023,Abbotsford,,5,0.875
2020,Abbotsford,,4,0.7
2020,Campbell River,Cariboo,1,0.733333333
2024,Campbell River,Lower Mainland/Southwest,2,1.333333333
2020,Campbell River,Vancouver Island/Coast,14,9.2
2024,Campbell River,Vancouver Island/Coast,16,10.17777778
2020,Campbell River,,1,0.533333333
2021,Chilliwack,Lower Mainland/Southwest,5,0.875
2022,Chilliwack,Lower Mainland/Southwest,10,1.75
2023,Chilliwack,Lower Mainland/Southwest,13,2.275
2024,Chilliwack,Lower Mainland/Southwest,15,3.5
2020,Chilliwack,Lower Mainland/Southwest,15,2.625
2021,Chilliwack,,7,1.225
2022,Chilliwack,,1,0.175
2023,Cranbrook,Kootenay,7,1.225
2023,Cranbrook,Thompson-Okanagan,1,0.175
2023,Cranbrook,,1,0.175
2021,Dawson Creek,Cariboo,1,0.7
2022,Dawson Creek,Cariboo,1,0.2
2021,Dawson Creek,Northeast,9,4.233333333
2022,Dawson Creek,Northeast,4,0.8
2021,Dawson Creek,Vancouver Island/Coast,1,0.7
2022,Dawson Creek,Vancouver Island/Coast,1,0.2
2021,Dawson Creek,,4,2.8
2022,Dawson Creek,,4,0.8
2020,JIBC Chilliwack Campus,Cariboo,2,1.033333333
2023,JIBC Chilliwack Campus,Cariboo,4,1.425
2024,JIBC Chilliwack Campus,Cariboo,4,0.602777778
2020,JIBC Chilliwack Campus,Kootenay,2,0.793333333
2021,JIBC Chilliwack Campus,Kootenay,2,0.9
2022,JIBC Chilliwack Campus,Kootenay,1,0.2
2024,JIBC Chilliwack Campus,Kootenay,1,0.9
2020,JIBC Chilliwack Campus,Lower Mainland/Southwest,137,56.95059199
2021,JIBC Chilliwack Campus,Lower Mainland/Southwest,89,35.55833333
2022,JIBC Chilliwack Campus,Lower Mainland/Southwest,159,61.04114754
2023,JIBC Chilliwack Campus,Lower Mainland/Southwest,146,54.44166667
2024,JIBC Chilliwack Campus,Lower Mainland/Southwest,176,78.23888889
2022,JIBC Chilliwack Campus,Nechako,1,0.131147541
2023,JIBC Chilliwack Campus,Nechako,1,0.175
2024,JIBC Chilliwack Campus,North Coast,1,0.311111111
2020,JIBC Chilliwack Campus,Northeast,1,0.175
2021,JIBC Chilliwack Campus,Northeast,2,0.35
2022,JIBC Chilliwack Campus,Northeast,1,0.175
2023,JIBC Chilliwack Campus,Northeast,2,1.075
2020,JIBC Chilliwack Campus,Thompson-Okanagan,5,2.125
2021,JIBC Chilliwack Campus,Thompson-Okanagan,4,1.441666667
2022,JIBC Chilliwack Campus,Thompson-Okanagan,13,3.301666667
2023,JIBC Chilliwack Campus,Thompson-Okanagan,7,1.95
2024,JIBC Chilliwack Campus,Thompson-Okanagan,12,4.041666667
2020,JIBC Chilliwack Campus,Vancouver Island/Coast,2,1.6
2021,JIBC Chilliwack Campus,Vancouver Island/Coast,6,2.85
2022,JIBC Chilliwack Campus,Vancouver Island/Coast,4,1.675
2023,JIBC Chilliwack Campus,Vancouver Island/Coast,3,0.55
2020,JIBC Chilliwack Campus,,3,1.733333333
2021,JIBC Chilliwack Campus,,3,0.55
2022,JIBC Chilliwack Campus,,7,2.475
2023,JIBC Chilliwack Campus,,4,0.916666667
2024,JIBC Chilliwack Campus,,3,1.708333333
2020,JIBC Kelowna Campus,Cariboo,6,2.901666667
2021,JIBC Kelowna Campus,Cariboo,9,2.65
2022,JIBC Kelowna Campus,Cariboo,5,1.65
2023,JIBC Kelowna Campus,Cariboo,9,3.2
2024,JIBC Kelowna Campus,Cariboo,12,2.511111111
2020,JIBC Kelowna Campus,Kootenay,15,5.966666667
2021,JIBC Kelowna Campus,Kootenay,10,2.5
2022,JIBC Kelowna Campus,Kootenay,13,3.325
2023,JIBC Kelowna Campus,Kootenay,15,5.141666667
